Title,Authors,Publisher,Citations,Year
Draft of a Generalized Theory of Relativity and a Theory of Gravitation,"A Einstein, M Grossmann","Zeitschrift ff Mathematik and Physik 62, 225-61",860,1913
Zum quantensatz von Sommerfeld und Epstein,A Einstein,Friedr. Vieweg & Sohn,843,1917
On gravitational waves,"A Einstein, N Rosen","Journal of the Franklin Institute 223 (1), 43-54",787,1937
The Collected Papers of Albert Einstein: English Translation,"A Einstein, A Beck, AM Hentschel",Princeton University Press,741,1989
On the method of theoretical physics,A Einstein,"Philosophy of science 1 (2), 163-169",701,1934
Strahlungs-emission und absorption nach der quantentheorie,A Einstein,"Deutsche Physikalische Gesellschaft 18, 318-323",686,1916
"The collected papers of Albert Einstein: The Berlin years: correspondence, January-December 1921","DK Buchwald, Ze'ev Rosenkranz, T Sauer, J Illy, VI Holmes",Princeton University Press,671,2009
"The Collected Papers of Albert Einstein, Volume 15 (Translation Supplement): The Berlin Years: Writings & Correspondence, June 1925–May 1927",A Einstein,Princeton University Press,667,2018
"The Collected Papers of Albert Einstein, Vol. 5: The Swiss Years: Correspondence, 1902-1914","A Einstein, MJ Klein, AJ Kox, R Schulmann, P Brenni, K Hentschel, ...",ISIS-International Review Devoted to the History of Science and its Cultural …,654,1995
"The Collected Papers of Albert Einstein, Volume 15 (Translation Supplement): The Berlin Years: Writings & Correspondence, June 1925–May 1927",A Einstein,Princeton University Press,640,2018
"The Collected Papers of Albert Einstein, Vol. 4: The Swiss Years: Writings, 1912-1914","A Einstein, MJ Klein, AJ Kox, J Renn, R Schulmann, PM Harman",ISIS-International Review Devoted to the History of Science and its Cultural …,625,1996
"The Collected Papers of Albert Einstein, Vol. 4: The Swiss Years: Writings, 1912-1914","A Einstein, MJ Klein, AJ Kox, J Renn, R Schulmann, PM Harman",ISIS-International Review Devoted to the History of Science and its Cultural …,625,1996
"The collected papers of Albert Einstein. Vol 4, The Swiss years: writings, 1912-1914 [English translation]","A Einstein, J Stachel",Princeton University Press,625,
The principle of relativity: a collection of original memoirs on the special and general theory of relativity,"HA Lorentz, A Einstein, H Minkowski, H Weyl",Dover,623,1923
"Philosopher-Scientist, ed","A Einstein, A Einstein","PA Schillp, Open Court, La Salle, Illinois, 85",602,1970
"Ueber spezielle und allgemeine Relativitaetstheorie, 127",A Einstein,,587,1969
The influence of the expansion of space on the gravitation fields surrounding the individual stars,"A Einstein, EG Straus","Reviews of Modern Physics 17 (2-3), 120-124",554,1945
Zum gegenwärtigen Stand des Strahlungsproblems,A Einstein,"Physikalische Zeitschrift 10, 185-193",538,1909
Ether and the Theory of Relativity,A Einstein,"The Genesis of General Relativity, 1537-1542",514,2007
On the quantum theory of radiation,A Einstein,"Laser Theory, 5-21",512,1972
Mein weltbild,"A Einstein, C Seelig, A Bandilla",Querido verlag,488,1934
On a stationary system with spherical symmetry consisting of many gravitating masses,A Einstein,"The Annals of Mathematics 40 (4), 922-936",479,1939
Geometrie und erfahrung,A Einstein,,474,1921
Does the inertia of a body depend upon its energy-content?,A Einstein,"Annalen der Physik 18, 639-641",445,1905
"Sidelights on Relativity,... I. Ether and Relativity. II. Geometry and Experience",A Einstein,Dutton & Company,436,1922
Sidelights on relativity,A Einstein,MobileReference,430,2009
On the Relation between the Expansion and the Mean Density of the Universe,"A Einstein, W De Sitter",Proceedings of the National Academy of Sciences of the United States of …,425,1932
QUANTEN‐MECHANIK UND WIRKLICHKEIT,A Einstein,"Dialectica 2 (3‐4), 320-324",419,1948
Principle Points of the General Theory of Relativity,A Einstein,"Annalen der Physik (Berlin, Germany) 55, 241-244",418,1918
A Heuristic Viewpoint Concerning the Production and Transformation of Light,A Einstein,,415,1929
Prinzipielles zur allgemeinen Relativitätstheorie,A Einstein,"Annalen der Physik 360 (4), 241-244",415,1918
Über die Entwickelung unserer Anschauungen über das Wesen und die Konstitution der Strahlung,A Einstein,Druck von Friedrich Vieweg und Sohn,413,1909
Riemann‐Geometrie mit Aufrechterhaltung des Begriffes des Fernparallelismus,A Einstein,"Albert Einstein: Akademie‐Vorträge, 316-321",412,1928
La géométrie et l'expérience,"A Einstein, M Solovine",Gauthier-Villars,409,1921
"La géométrie et l'expérience, par Albert Einstein; traduit par Maurice Solovine",A Einstein,,409,1921
Die Relativitätstheorie,A Einstein,,407,1925
Die Relativitätstheorie,"A Einstein, EG Warburg",Druck und Verlag von BG Teubner,407,1915
Die Relativitäts-Theorie,A Einstein,Komm. Beer,407,1911
The theory of relativity,A Einstein,Citadel,389,1996
A evolução da física: o desenvolvimento das ideias desde os primitivos conceitos até à Relatividade e aos Quanta,"A Einstein, L Infeld, M Lobato",Livros do Brasil,383,1939
Das relativitätsprinzip: Eine sammlung von abhandlungen,"HA Lorentz, A Einstein, H Minkowski, HCH Weyl, A Sommerfeld",BG Teubner,377,1915
SB preuss,A Einstein,"Akad. Wise, 688",375,1916
On a generalization of Kaluza's theory of electricity,"A Einstein, P Bergmann","The Annals of Mathematics 39 (3), 683-701",370,1938
Grundzüge der Relativitätstheorie,A Einstein,Springer DE,366,2002
Concerning an heuristic point of view toward the emission and transformation of light,"A Einstein, T into English","American Journal of Physics 33 (5), 367",364,1965
A generalization of the relativistic theory of gravitation,A Einstein,"The Annals of Mathematics 46 (4), 578-584",346,1945
Wolfgang Pauli,"K von Meyenn, E Schucking","Physics Today 54, 43",343,2001
Hedwig und Max Born: Briefwechsel 1916-1955,"A Einstein, B Russell, W Heisenberg",Nymphenburger Verlagshandlung,341,1969
The elementary theory of the Brownian motion,A Einstein,"Zeitschrift für Elektrochemie und Angewandte Physikalische Chemie 14, 235-239",336,1908
Reply to critics,A Einstein,,332,1949
Essays in science,A Einstein,Philosophical Library/Open Road,318,2011
Einstein's essays in science,A Einstein,Dover Publications,318,2009
Ather and Relativitatstheorie. J,A Einstein,"Springer, Berlin",311,1920
On the motion of particles in general relativity theory,"A Einstein, L Infeld","Can. J. Math 1, 209",303,1949
"A generalization of the relativistic theory of gravitation, II","A Einstein, EG Straus","The Annals of Mathematics 47 (4), 731-741",302,1946
Äther und Relativitäts-theorie,A Einstein,"Äther und Relativitäts-Theorie, 1-15",301,1920
Äther und Relativitätstheorie: Rede gehalten am 5. Mai 1920 an der Reichs-Universität zu Leiden,A Einstein,Springer,301,1920
"Quantentheorie des idealen einatomigen Gases, Sitzber",A Einstein,"Kgl. Preuss. Akad. Wiss, 261-267",290,1924
Physik und realität,A Einstein,"Journal of the Franklin Institute 221 (3), 313-347",285,1936
Elementare Betrachtungen über die thermische Molekularbewegung in festen Körpern,A Einstein,"Annalen der Physik 340 (9), 679-694",285,1911
Zur theorie der lichterzeugung und lichtabsorption,A Einstein,"Annalen der Physik 325 (6), 199-206",281,1906
On the Influence of Gravitation on the Propagation of Light,A Einstein,"Annalen der Physik 35, 898-908",274,1911
Philosopher-Scientist,A Einstein,Cambridge University Press,273,1970
Collected Scientific Works,A Einstein,"Russ. transl 1 (2), 1965-1966",271,1965
Elementare Theorie der Brownschen) Bewegung,A Einstein,Zeitschrift für elektrochemie und angewandte physikalische chemie 14 (17 …,271,1908
Auf die Riemann-Metrik und den Fern-Parallelismus gegründete einheitliche Feldtheorie,A Einstein,"Mathematische Annalen 102 (1), 685-697",260,1930
New possibility for a unified field theory of gravitation and electricity,A Einstein,"Session Report of the Prussian Acad. Sci, 224-227",258,1928
"Wissenschaftlicher Briefwechsel Mit Bohr, Einstein, Heisenberg, Ua: Scientific Correspondence with Bohr, Einstein, Heisenberg, Ao Volume 1: 1919-1929. 1919-1929","W Pauli, N Bohr, A Einstein, W Heisenberg",Springer Verlag,256,1979
On the generalized theory of gravitation,A Einstein,"Scientific American 182, 13-17",256,1950
Spielen Gravitationsfelder im Aufbau der materiellen Elementarteilchen eine wesentliche Rolle?,A Einstein,"Albert Einstein: Akademie‐Vorträge, 167-175",252,1919
"Scientific Correspondence with Bohr, Einstein, Heisenberg and Others...: 1919-1929","W Pauli, NHD Bohr, A Einstein, W Heisenberg",Springer,249,1979
Über die im elektromagnetischen Felde auf ruhende Körper ausgeübten ponderomotorischen Kräfte,"A Einstein, J Laub","Annalen der Physik 331 (8), 541-550",243,1908
A teoria da relatividade especial e geral,"A Einstein, CA Pereira",Contraponto Editora,242,2003
B. preuss,A Einstein,"Akad. Wiss, 688",242,1916
Lettres à Maurice Solovine,A Einstein,Gauthier-Villars,241,1956
Relativita,"A Einstein, B Cermignani, L Infeld",Bollati Boringhieri,238,1960
The fundamentals of theoretical physics,A Einstein,"Out of my Later Years, Philosophical Library, New York",237,1950
letter to Max Born,A Einstein,"The Born-Einstein Letters (New York: Walker, 1971) 82",237,1926
Einige Argumente für die Annahme einer molekularen Agitation beim absoluten Nullpunkt,"A Einstein, O Stern","Annalen der Physik 345 (3), 551-560",230,1913
Briefwechsel 1916-1955,"A Einstein, H Born, M Born",Rowohlt,227,1972
Briefwechsel 1916-1955,"A Einstein, H Born, M Born",Rowohlt,227,1972
Why war?,"A Einstein, S Freud, S Gilbert","International institute of intellectual co-operation, League of nations",221,1933
Ernst Mach,A Einstein,"Physikalische Zeitschrift 17, 101-104",220,1916
Mi visión del mundo,"A Einstein, S Gallardo",Orbis,219,1985
Statistische Untersuchung der Bewegung eines Resonators in einem Strahlungsfeld,"A Einstein, L Hopf","Annalen der Physik 338 (16), 1105-1115",212,1910
Über die vom Relativitätsprinzip geforderte Trägheit der Energie,A Einstein,"Annalen der Physik 328 (7), 371-384",208,1907
Die Nordströmsche gravitationstheorie vom standpunkt des absoluten Differentialkalküls,"A Einstein, AD Fokker","Annalen der Physik 349 (10), 321-328",206,1914
Zum kosmologischen Problem der allgemeinen Relativitätstheorie,A Einstein,"Albert Einstein: Akademie‐Vorträge, 361-364",204,1931
Zum gegenwärtigen Stande des Gravitations-problems,A Einstein,,204,1914
"Briefwechsel 1916±1955 von Albert Einstein und Hedwig und Max Born, Kommentiert von Max Born",A Einstein,"Nymphenburger Verlagshandlung, MuÈnchen",203,1969
Notas autobiográficas,A Einstein,Alianza Editorial,202,2003
Dialog über Einwände gegen die Relativitätstheorie,A Einstein,"Naturwissenschaften 6 (48), 697-702",199,1918
Lichtgeschwindigkeit und statik des Gravitationsfeldes,A Einstein,"Annalen der Physik 343 (7), 355-369",198,1912
