Title,Authors,Publisher,Citations,Year
"The Berlin Years, Correspondence 1914-1918: English Translation","A Einstein, AM Hentschel, K Hentschel",Princeton University Press,76,1998
the Theory of Gravitation,H Einstein,"Dordrecht, Reidel",76,1974
Sitsungsber. Preus. Akad. Wiss,A Einstein,Math. Phys 778,76,1915
Elementare Uberlegungen zur Interpretation der Grundlagen der Quanten-Mechanik,A Einstein,Scientific Papers Presented to Max Born on his Retirement from the Tait …,75,1953
A generalized theory of gravitation,A Einstein,"Reviews of Modern Physics 20 (1), 35-39",75,1948
Theodore von Karman Anniversary Volume,"A Einstein, V Bargmann, P Bergmann",Pasadena,75,1941
On the limit of validity of the law of thermodynamic equilibrium and on the possibility of a new determination of the elementary quanta,A Einstein,"Ann. Physik 22, 569-572",74,1907
Two-body problem in general relativity theory,"A Einstein, N Rosen","Physical Review 49 (5), 404",73,1936
Relativistic theory of the non-symmetric field,A Einstein,"Append. II in” The meaning of relativity”, 5thedition, Princeton",72,1955
Über einen Satz der Wahrscheinlichkeitsrechnung und seine Anwendung in der Strahlungstheorie,"A Einstein, L Hopf","Annalen der Physik 338 (16), 1096-1104",72,1910
Generation and conversion of light with regard to a heuristic point of view,A Einstein,"Ann Phys 17, 132-148",72,1905
Méthode pour la détermination de valeurs statistiques d'observations concernant des grandeurs soumises a des fluctuations irrégulières,A Einstein,"Archives des Sciences 37, 254-256",71,1914
Riemannian Geometry with Maintaining the Notion of distant parallelism,A Einstein,"Session Report of the Prussian Academy of Sciences, 217-221",70,1928
Untersuchungen uber die Theorie der Brownschen Bewegung,"A Einstein, M von Smoluchowski",Leipzig: Akademische Verlag Gesellschaft,70,1922
Über die Möglichkeit einer neuen Prüfung des Relativitätsprinzips,A Einstein,"Annalen der Physik 328 (6), 197-198",69,2006
Zum Ehrenfestschen Paradoxon,A Einstein,"Physikalische Zeitschrift 12, 509-510",69,1910
Über die Gültigkeitsgrenze des Satzes vom thermodynamischen Gleichgewicht und über die Möglichkeit einer neuen Bestimmung der Elementarquanta,A Einstein,"Annalen der Physik 327 (3), 569-572",68,1907
The Theory of Opalescence of Homogeneous Liquids and Liquid Mixtures Near the Critical State,A Einstein,,67,1993
Refrigeration,"A Einstein, L Szilard",Appl. US Patent 16,67,1927
A brief outline of the development of the theory of relativity,A Einstein,"Nature 106 (2677), 782-784",67,1921
Fundamental ideas and problems of the theory of relativity,A Einstein,Synergies 1 (1),65,2009
podolsky B and Rosen N 1935 Phys,A Einstein,"Rev 47, 777",65,
Storia del concetto di spazio,"M Jammer, A Einstein",Feltrinelli,64,1966
The common language of science,A Einstein,Out of my later years,64,1941
"Berichtigungen zu der Arbeit:"" Über das Relativitätsprinzip und die aus demselben gezogenen Folgerungen""",A Einstein,"Jahrbuch der Radioaktivität und Elektronik 5, 98-99",64,1908
Zur Theorie der Räume mit Riemann‐Metrik und Fernparallelismus,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,63,2006
Relativity and the Problem of Space,A Einstein,"Ideas and opinions, 375",63,1954
Notiz zu der Arbeit von A. Friedmann „Über die Krümmung des Raumes “,A Einstein,"Zeitschrift für Physik A Hadrons and Nuclei 16 (1), 228-228",61,1923
L'éther et la théorie de la relativité,A Einstein,Gauthier-Villars et cie,61,1921
Bemerkungen zu der Notiz von Hrn. Paul Ehrenfest:” ︁Die Translation deformierbarer Elektronen und der Flächensatz „,A Einstein,"Annalen der Physik 328 (6), 206-208",61,1907
Pourquoi la guerre?,"A Einstein, S Freud, B Briod",Institut international de coopération intellectuelle,60,1933
The laws of science and the laws of ethics,A Einstein,Essays in Physics,59,1950
Prinzipielles zur verallgemeinerten Relativitätstheorie und Gravitationstheorie,A Einstein,"Physikalische Zeitschrift 15, 176-180",59,1914
Untersuchungen über die Theorie der Brownschen Bewegung/Abhandlungen über die Brownsche Bewegung und verwandte Erscheinungen,"A Einstein, M von Smoluchowski","Harri Deutsch, Frankfurt 3",58,1999
Untersuchungen über die Theorie der Brownschen Bewegung,"A Einstein, M von Smoluchowski",Harri Deutsch Verlag,58,1997
Albert Einstein/Arnold Sommerfeld: Briefwechsel: Sechzig Briefe aus dem goldenen Zeitalter der modernen Physik,"A Einstein, A Sommerfeld, A Hermann",Schwabe,58,1968
"Briefwechsel: Albert Einstein, Arnold Sommerfeld: Sechzig Briefe Aus Dem Goldenen Zeitalter Der Modernen Physik","A Einstein, A Sommerfeld, A Hermann",Schwabe,58,1968
Untersuchungen über die Theorie der Brownschen Bewegung,A Einstein,Akademische verlagsgesellschaft mbh,58,1922
Der Energiesatz in der allgemeinen Relativitätstheorie,A Einstein,"Albert Einstein: Akademie‐Vorträge, 154-166",57,1918
"B. Podolsky & N. Rosen, 1935",A Einstein,"Phys. Rev 47, 777",57,
Zu Kaluzas Theorie des Zusammenhanges von Gravitation und Elektrizität. Zweite Mitteilung,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,56,2006
Zu Kaluzas Theorie des Zusammenhanges von Gravitation und Elektrizität. Erste Mitteilung,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,56,2006
"Einstein sagt: Zitate, Einfälle, Gedanken","A Einstein, A Calaprice, F Dyson, A Ehlers",Piper,56,1999
"Albert Einstein, the human side",A Einstein,"Albert Einstein, The Human Side",55,2013
Briefwechsel [zwischen] Albert Einstein und Arnold Sommerfeld: sechzig Briefe aus dem goldenen Zeitalter der modernen Physik,"A Einstein, A Hermann",,55,1968
The foundations of general relativity theory,A Einstein,"CW Kilmister, General Theory of Relativity, 140",54,1973
Letter to Schrödinger,A Einstein,"Letters on Wave Mechanics, 39-40",53,1950
Sobre a eletrodinâmica dos corpos em movimento,A Einstein,"LORENTZ, HA, EINSTEIN, A. E MINKOWSKI, H. O princípio da relatividade …",52,1983
Sehallausbreitung in teilweise disseziierten Gasen.,VA EIN-STEIN,,52,1920
Essays in physics,A Einstein,Philosophical Library,51,1950
On the five-dimensional representation of gravitation and electricity,"A Einstein, V Bargmann, PG Bergmann","Theodor von Karman Anniversary Volume, 212-225",51,1941
Bietet die feldtheorie Möglichkeiten für die Lösung des Quantenproblems?,A Einstein,"Albert Einstein: Akademie‐Vorträge, 230-236",51,1923
Einheitliche Theorie von Gravitation und Elektrizität. Zweite Abhandlung,"A Einstein, W Mayer",Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,50,2006
The Early Years 1879-1902,A Einstein,Princeton University Press,50,1987
Oeuvres choisies,"A Einstein, F Balibar",Ed. du Seuil,49,1991
Ueber den Frieden: Weltordnung oder Weltuntergang?,"A Einstein, O Nathan, H Norden",,49,1975
Newtons Mechanik und ihr Einfluß auf die Gestaltung der theoretischen Physik,A Einstein,"Naturwissenschaften 15 (12), 273-276",49,1927
Outline of a generalized theory of relativity and of a theory of gravitation,"A Einstein, M Grossmann","The Collected Papers of Albert Einstein 4, 1912-1914",49,1913
Zur affinen Feldtheorie,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,48,2006
Théorie unitaire du champ physique,A Einstein,"Ann. Inst. H. Poincare 1, 1-24",48,1930
Beiträge zur Quantentheorie,A Einstein,"Physikalische Gesellschaft 16, 820-828",48,1914
Über den gegenwärtigen Stand der Feld-Theorie,A Einstein,Orell Füssli,47,1929
Bemerkung zu der Franz Seletyschen Arbeit” ︁Beiträge zum kosmologischen System „,A Einstein,"Annalen der Physik 374 (22), 436-438",47,1922
Notiz zu E. Schrödingers Arbeit,A Einstein,"Physikalische Zeitschrift 19, 115-116",47,1918
Über den Frieden: Weltordnung oder Weltuntergang?,"A Einstein, O Nathan, H Norden, B Russel, W Schaber",Buchclub Ex Libris,46,1976
What I believe,"A Einstein, B Russell, HG Wells",Yamaguchi Shoten,46,1956
¿ Por qué socialismo?,A Einstein,"Filosofía, política y economía en el Laberinto, 87-92",45,2001
Quoted in,A Einstein,Math. Intelligencer 12 (2),45,1990
"Grundgedanken und Methoden der Relativitätstheorie, in ihrer Entwicklung dargestellt",A Einstein,"Unpubl. manuscript (Pierpont Morgan Library, New York, cf. Einstein Archives …",45,1920
Diskussion,A Einstein,at 86th meeting of the Gesellschaft Deutscher Naturforscher und Ärzte in Bad …,44,1920
Atomic education urged by Einstein,A Einstein,"The New York Times, 11",43,1946
Semi‐Vektoren und Spinoren,"A Einstein, W Mayer","Albert Einstein: Akademie‐Vorträge, 402-431",43,1932
Space-time,A Einstein,"Encyclopedia Britannica 21, 105-8",43,1929
Über die formale Beziehung des Riemannschen Krümmungstensors zu den Feldgleichungen der Gravitation,A Einstein,"Mathematische Annalen 97 (1), 99-103",43,1927
On the present status of the radiation problem,A Einstein,"Physikalische Zeitschrift 10, 185-193",43,1909
Sobre la electrodinámica de los cuerpos en movimiento,A Einstein,"Universidad autónoma de Zacatecas, Coordinación de Investigación y Posgrado",42,2005
"Sobre el humanismo: Escritos sobre política, sociedad y ciencia",A Einstein,,42,1995
Bemerkungen zu den P. Hertzschen Arbeiten:„Über die mechanischen Grundlagen der Thermodynamik” ︁,A Einstein,"Annalen der Physik 339 (1), 175-176",42,1911
Autobiographische Skizze,A Einstein,"Helle Zeit—Dunkle Zeit. Zurich: Europa Verlag, 9-17",41,1956
Algebraic properties of the field in the relativistic theory of the asymmetric field,"A Einstein, B Kaufman","The Annals of Mathematics 59 (2), 230-244",40,1954
créateur et rebelle,"B HOFFMAN, A liiert Einstein",Éditions du Seuilppour la traduction française,39,1972
Letter to M Besso,A Einstein,,39,1942
Physikalische Grundlagen einer Gravitationstheorie,A Einstein,"Vierteljahrsschrift der Naturforschenden Gesellschaft in Zürich 58, 284-290",39,1914
Fısica e realidade,A Einstein,"Revista Brasileira de Ensino de Fısica 28 (1), 9-22",38,2006
Über eine naheliegende Ergänzung des Fundamentes der allgemeinen Relativitätstheorie,A Einstein,"Albert Einstein: Akademie‐Vorträge, 197-201",38,1921
Hamilton’s principle and the general theory of relativity,A Einstein,"Sitzungsber. Preuss. Akad. Wiss. Berlin (Math. Phys.) 1916, 1111-1116",38,1916
"Albert Einstein, Mileva Maric: The Love Letters",A Einstein,Princeton University Press,37,2000
Atomic war or peace,"A Einstein, R Swing, A Einstein, G Physicist, A Einstein",Emergency Committee of Atomic Scientists,36,1947
Grundgedanken und Probleme der Relativitätstheorie,A Einstein,"Lecture 11, 482-490",35,1923
"Correspondence 1916-1955 [entre] Albert Einstein, Max Born et Hedwig Born",A Einstein,,34,1972
Albert Einstein und die Schweiz,"C Seelig, A Einstein",Europa-Verlag,34,1952
Demonstration of the non-existence of gravitational fields with a non-vanishing total mass free of singularities,A Einstein,,34,1941
Die Diracgleichungen für Semivektoren,"A Einstein, W Mayer, A Einstein, G Physicist, A Einstein",Koninklijke Akademie van Wetenschappen,34,1933
Rapports et Discussions du Cinquième Conseil Solvay,A Einstein,Gauthier-Villars,34,1928
Über Friedrich Kottlers Abhandlung “Über Einsteins Äquivalenzhypothese und die Gravitation”,A Einstein,"Annalen der Physik 356 (22), 639-642",34,1916
Ueber die thermodynamische Theorie der Potentialdifferenz zwischen Metallen und vollständig dissociirten Lösungen ihrer Salze und über eine elektrische Methode zur Erforschung …,A Einstein,"Annalen der Physik 14 (S1), 99-116",33,2005
Einstein und sein Weltbild: Aufsätze und Vorträge,F Herneck,Buchverl. Der Morgen,33,1988
Einstein und das Universum,"L Barnett, A Einstein",Fischer,33,1958
Education,"A Einstein, B Westreich",Press of Arden Park,33,1950
Bivector fields II,A Einstein,"The Annals of Mathematics 45 (1), 15-23",33,1944
Letter,A Einstein,,33,1934
letter to Ernst Mach,A Einstein,"Zurich, 25 June 1913, 544",33,1923
Emission and absorption of radiation according to the quantum theory,A Einstein,"Verh. Dtsch. Phys. Ges 18, 318",33,1916
On the Present State of the Problem of Gravitation,A Einstein,"The Genesis of General Relativity, 1467-1491",32,2007
O princípio da relatividade,"HA Lorentz, A Einstein, H Minkowski, H Weyl, A Sommerfeld, ...",Fundação Calouste Gulbenkian,32,1983
Bivector fields,"A Einstein, V Bargmann","The Annals of Mathematics 45 (1), 1-14",32,1944
Einstein's 1912 manuscript on the special theory of relativity: a facsimile,A Einstein,George Braziller,31,1996
Briefe an Maurice Solovine,A Einstein,Dt. Verlag d. Wiss.,31,1960
Die Evolution der Physik: Von Newton bis zur Quantentheorie,"A Einstein, L Infeld",Rowohlt,31,1956
Elementare theorie der wasserwellen und des fluges,A Einstein,"Naturwissenschaften 4 (34), 509-510",31,1916
Hedwig und Max Born,A Einstein,"Briefwechsel 1955, 7-54",31,1916
Eine neue formale Deutung der Maxwellschen Feldgleichungen der Elektrodynamik,A Einstein,"Albert Einstein: Akademie‐Vorträge, 93-98",31,1916
Physics & reality,A Einstein,"Daedalus 132 (4), 22-25",30,2003
"The Swiss Years: Writings, 1914-1917",A Einstein,Princeton University Press,30,1996
On the quantum mechanics of radiation,A Einstein,"Physikalische Zeitschrift 18, 121-128",30,1917
"Fund-raising telegram for the Emergency Committee of Atomic Scientists, 23 May 1946",A Einstein,Einstein on peace,29,1960
Zwei strenge statische Lösungen der Feldgleichungen der einheitlichen Feldtheorie,"A Einstein, W Mayer","Albert Einstein: Akademie‐Vorträge, 346-357",29,1930
Beweis der Nichtexistenz eines überall regulären zentrische symmetrischen Feldes nach der Feld-Theorie von Th. Kaluza,"A Einstein, J Grommer",Nijhoff,29,1923
Einstein's Annalen papers: the complete collection 1901-1922,J Renn,"Einstein's Annalen Papers: The Complete Collection 1901-1922, by Jürgen Renn …",28,2005
Komptonsche Experiment,A Einstein,Berliner tageblatt 20,28,1924
Os fundamentos da teoria da relatividade geral,A Einstein,"Ann. d. Phys 49, 769",28,1916
Fysika jako dobrodružství poznání,"A Einstein, L Infeld",Orbis,27,1958
"Systematische Untersuchung fiber kompatible Feldgleichungen, welche von einem Riemannschen Raum mit Fernparallelismus gesetzt werden k6nnen","A Einstein, W Mayer","Berliner Bet, 3",27,1931
"Systematische Untersuchung über kompatible Feldgleichungen, welche in einem Riemannschen Raume mit Fernparallelismus gesetzt werden können","A Einstein, W Mayer","Albert Einstein: Akademie‐Vorträge, 365-374",27,1931
Bemerkung zu Herrn Schrödingers Notiz,A Einstein,"Physikalische Zeitschrift 19, 165-166",27,1918
Über eine Methode zur Bestimmung des Verhältnisses der transversalen und longitudinalen Masse des Elektrons,A Einstein,"Annalen der Physik 326 (13), 583-586",27,1906
Zur Methodik der Theoretischen Physik,A Einstein,"Albert Einstein: Mein Weltbild,(Ullstein, Frankfurt am Main, 1984)",26,1934
Das Raum-Feld-und Aether-Problem in der Physik,"A Einstein, A Einstein, G Physicist, A Einstein",NZZ,26,1930
"Comment on the Paper by WR Heß,‘Contribution to the theory of the viscosity of heterogeneous systems,’",A Einstein,Kolloid,26,1920
Unified field theory based on Riemannian metrics and distant parallelism,A Einstein,"Math. Ann 102, 685-697",25,1930
Deutsche Physikalische Gesellschaft,"A Einstein, WJ de Haas","Verhandlungen 17, 152",25,1915
On the theory of light production and light absorption,A Einstein,"Ann. Phys.(Leipzig) 20, 199",25,1906
Bemerkung zu meiner Arbeit “Zur allgemeinen Relativitätstheorie”,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,24,2006
"Field theories, old and new",A Einstein,Readex Microprint Corporation,24,1960
Nichteuklidische Geometrie und Physik,A Einstein,,24,1925
Bemerkungen zu P. Harzers Abhandlung» Über die Mitführung des Lichtes in Glas und die Aberration «.,A Einstein,"Astronomische Nachrichten 199, 8",24,1914
Bemerkungen zu P. Harzers Abhandlung «Über die Mitführung des Lichtes in Glas und die Aberration»(AN 4748),A Einstein,"Astronomische Nachrichten 199 (1), 7-10",24,1914
L'état actuel du problème des chaleurs spécifiques,A Einstein,,24,1912
Quatre conférences sur la théorie de la relativité faites à l'Université de Princeton,A Einstein,J. Gabay,23,2005
"Albert Einstein, Max Born, Hedwig Born: Correspondance, 1916-1955","A Einstein, M Born, H Born, B Russell, W Heisenberg",Ed. du Seuil,23,1972
The way out,A Einstein,,23,1946
Testimorial from Professor Einstein (Appendix II),AA EINSTEIN,HADAMARDJ. An essay on the psychology of invention in the mathematical field …,23,1945
The new field theory,A Einstein,"The Observatory 52, 82-87",23,1929
Bemerkung zu P. Jordans Abhandlung „Zur Theorie der Quantenstrahlung”,A Einstein,"Zeitschrift für Physik A Hadrons and Nuclei 31 (1), 784-785",23,1925
"Bemerkung zu der Abhandlung von WR He"" Beitrag zur Theorie der Viskosität heterogener Systeme""",A Einstein,,23,
The Einstein Reader,A Einstein,Citadel,22,2006
HA Lorentz: His Creative Genius and His Personality,A Einstein,National Museum for the History of Science,22,1953
The Late Emmy Noether,A Einstein,"New York Times 4, 198",22,1935
Prüfung der allgemeinen Relativitätstheorie,A Einstein,"Naturwissenschaften 7 (42), 776-776",22,1919
Essays in humanism,A Einstein,Philosophical Library/Open Road,21,2011
"Foreword to Concepts of Space, by Max Jammer",A Einstein,Harvard University Press,21,1954
"Physics, philosophy and scientific progress.",A Einstein,"The Journal of the International College of Surgeons 14 (6), 755",21,1950
Gravitational and electromagnetic fields,A Einstein,"Science 74, 438-439",21,1931
Theoretische Bemerkungen zur Supraleitung der Metalle,A Einstein,,21,1922
"Bemerkungen über periodische Schwankungen der Mondlänge, welche bisher nach der Newtonschen Mechanik nicht erklärbar erschienen",A Einstein,"Albert Einstein: Akademie‐Vorträge, 176-180",21,1919
Lassen sich Brechungsexponenten der Körper für Röntgenstrahlen experimentell ermitteln?,A Einstein,"Deutsche Physikalische Gesellschaft 20, 86-87",21,1918
"Wissenschaftlicher Briefwechsel mit Bohr, Einstein, Heisenberg ua. Bd. 4. 1955-1956",Wolfgang (Physiker) Pauli,Springer,20,2001
"Wissenschaftlicher Briefwechsel mit Bohr, Einstein, Heisenberg ua. 3. 1940-1949",Wolfgang (Physiker) Pauli,Springer,20,1993
"Briefe zur Wellenmechanik: 2. IV. 1926-22. XII. 1950 herausgegeben im Auftrage der Osterreichischen Akademie der Wissenschaften von K. Karl Przibram,...","E Schrödinger, A Einstein, HA Lorentz, M Planck",Springer-Verlag,20,1963
Briefe zur Wellenmechanik: Mit 4 porträts,"E Schrodinger, M Planck, A Einstein, HA Lorentz, K Przibram, ...",Springer,20,1963
Die Kompatibilität der Feldgleichungen in der einheitlichen Feldtheorie,A Einstein,"Albert Einstein: Akademie‐Vorträge, 339-345",20,1930
Elektron und allgemeine Relativitätstheorie,A Einstein,M. Nijhoff,20,1925
Nachtrag zu meiner Arbeit:„Thermodynamische Begründung des photochemischen Aquivalentgesetzes” ︁,A Einstein,"Annalen der Physik 343 (9), 881-884",20,1912
Theory of the Opalescence of Homogeneous and of Mixed Liquids in the Neighborhood of the Critical Region,A Einstein,"Ann. Physik 33, 1275-1298",20,1910
"The Collected Papers of Albert Einstein, Volume 9: The Berlin Years: Correspondence, January 1919-April 1920",A Einstein,"The Collected Papers of Albert Einstein, Volume 9: The Berlin Years …",19,2004
"Relativity, quanta, and cosmology in the development of the scientific thought of Albert Einstein","F De Finis, VV Raman","American Journal of Physics 49 (11), 1082-1084",19,1981
Investigations on the Theory of Non-Uniform Gases,A Einstein,New York,19,1956
Les fondements de la théorie de la relativité générale,A Einstein,Hermann,19,1933
About Zionism: Speeches and Letters by Professor Albert Einstein,A Einstein,The Soncino press,19,1930
Meine Antwort. Ueber die anti-relativitätstheoretische GmbH,A Einstein,Berliner Tageblatt 27,19,1920
equations of motionﬁ one therefore could not doubt that the laws of nature are,A Einstein,"Jahrbuch der Radioaktivitﬁt and Elektronik 4, 411-462",19,1907
"Berichtigungen zu der Arbeit:"" Über das Relativitätsprinzip und die aus demselben gezogenen Folgerungen"", 29 Feb 1908",A Einstein,,19,
Albert Einstein,A Einstein,"Nobel Prize in Physics, 187",18,1999
La relatividad,A Einstein,Grijalbo,18,1970
The collected works of Bernhard Riemann,"H Weber, C Kuratowski, EF Beckenbach, JA Lappo-Danilevsky, ...","Bull. Amer. Math. Soc. 59 (1953), 484-485. DOI: 10.1090/S0002-9904-1953 …",18,1953
Vorschlag zu einem die Natur des elementaren Strahlungs-Emissionsprozesses betreffenden Experiment,A Einstein,"Naturwissenschaften 14 (14), 300-301",18,1926
Antwort auf vorstehende Betrachtung,A Einstein,"Naturwissenschaften 8 (51), 1010-1011",18,1920
Verlandlungen der deutchen physikalischen Gesellschaft,A Einstein,"Bd 19, 82-92",18,1917
Einstein on Humanism,A Einstein,Carol Publishing Group,17,1993
Mi credo humanista,A Einstein,Leviatan,17,1991
My Credo,A Einstein,"cité dans Henri Atlan, À tort ou à raison. Intercritique de la science et du …",17,1986
Essays in science,A Einstein,"Soil Science 78 (2), 154",17,1954
Electrons et photons,A Einstein,"Rapports et discussions du 5e Conseil Solvay, 253",17,1928
Geometria no euclidea y fisica,A Einstein,Revista Mathematica Hispano-Americana 2,17,1926
Die {\ it Planck} sche Theorie der Strahlung und die Theorie der spezifischen Wärme.(German),A Einstein,,17,
"Letters on Wave Mechanics: Correspondence with HA Lorentz, Max Planck, and Erwin Schrödinger",A Einstein,Philosophical Library/Open Road,16,2011
Correspondencia con Michele Besso:(1903-1955),"A Einstein, M Besso, P Speziali",Tusquets editores,16,1994
The Meaning of,A Einstein,The family,16,1969
"Science, Philosophy, and Religion",A Einstein,"Philip P. Wiener, Readings in Philosophy of Science, New York, Charles …",16,1953
Education for independent thought,A Einstein,"The New York Times, October 5",16,1952
Personal God Concept Causes Science-Religion Conflict,A Einstein,"The Science News-Letter 38 (12), 181-182",16,1940
Nachträgliche Antwort auf eine Frage von Herrn Reißner,A Einstein,"Physikalische Zeitschrift 15, 108-110",16,1914
Max Planck als Forscher,A Einstein,"Naturwissenschaften 1 (45), 1077-1079",16,1913
Eine neue elektrostatische Methode zur Messung kleiner Elektrizitätsmengen,A Einstein,"Physikalische Zeitschrift 9, 216-217",16,1908
"The collected papers of Albert Einstein. Vol. 12, The Berlin years: correspondence, January-December 1921","A Einstein, DK Buchwald",Princeton University Press,16,
Über ein den Elementarprozeß der Lichtemission betreffendes Experiment,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,15,2006
from The Einstein-Freud Correspondence (1931-1932),A Einstein,"Einstein on Peace, edited by Otto Nathan and Heinz Norden. New York …",15,1960
Physik als Abenteuer der Erkenntnis,"A Einstein, L Infeld",AW Sijthoff,15,1938
Spaltung der natuerlichsten Feldgleichungen fuer Semi-Vektoren in Spinor-Gleichungen vom Dirac'schen Typus,"A Einstein, W Mayer, A Einstein, G Physicist, A Einstein",Koninklijke Akademie van Wetenschappen,15,1933
Religion und Wissenschaft,"A Einstein, A Einstein, G Physicist, A Einstein",,15,1930
Über ein den ElementarprozeÃŸ der Lichtemission betreffendes Experiment,A Einstein,Sitzungsberichte der Königlich PreuÃŸischen Akademie der Wissenschaften …,15,1921
Prinzipien der Forschung,A Einstein,"Einstein (1977), 107-10",15,1918
Koniglich Preussische Akademie für Wissenschaft 844 (1915);[Links] A. Einstein,A Einstein,"Annalen der Physik 49, 146",15,1916
Zum gegenwärtigen Stande des Problems der spezifischen Wärme,A Einstein,,15,1911
Kinetic theory of thermal equilibrium and of the second law of thermodynamics,A Einstein,"A theory of the foundation of thermodynamics, 3-5",15,1902
Sobre la teoría especial y la teoria general de la relatividad,"A Einstein, JMA Flores, A Goldar",Sarpe,14,1983
Creator and Rebel,A Einstein,"Banesh Hoffman with the collaboration of Helen Dukas, Viking, New York",14,1972
Escritos sobre la paz,"A Einstein, O Nathan, H Norden, B Russell, JS Tura",Península,14,1967
L'éther et la théorie de la relativité: La géométrie et l'expérience,"A Einstein, A Einstein, G Physicist, A Einstein",Gauthier Villars,14,1964
Tables of Einstein Functions,"J Hilsenrath, GG Ziegler",US Government Printing Office,14,1962
Science and God,A Einstein,"Forum and Century 83, 373-379",14,1930
Observações sobre a situação atual da teoria da luz,A Einstein,"Revista da Academia Brasileira de Ciências 1, 1-3",14,1926
Marian v. Smoluchowski,A Einstein,"Naturwissenschaften 5 (50), 737-738",14,1917
Verhandl. deut. physik,"A Einstein, W de Haas","Ges 17, 152",14,1915
On the general molecular theory of heat,A Einstein,"Ann. Phys.(Leipzig) 14 (354), 68",14,1904
The essential Einstein: his greatest works,"A Einstein, SW Hawking",Penguin,13,2008
La lucha contra la guerra,"A Einstein, A López Campillo, A Lief",,13,1986
Scienza e vita: lettere 1916-1955,"A Einstein, G Scattone, W Heisenberg, B Russell, M Born, H Born",Giulio Einaudi,13,1973
Briefwechsel: Sechzig Briefe aus dem goldenen Zeitalter der modernen Physik,"A Einstein, A Sommerfeld",Schwabe,13,1968
Albert Einstein und Johannes Stark: Briefwechsel und Verhältnis der beiden Nobelpreisträger,"A Hermann, A Einstein, J Stark","Sudhoffs Archiv 50 (3), 267-285",13,1966
Naturwissenschaft und Religion,A Einstein,"Physikalische Blätter 16 (7), 353-358",13,1960
The advent of the quantum theory,A Einstein,"Science 113 (2926), 82-84",13,1951
"On the"" Cosmologic Problem""",A Einstein,"The American Scholar 14 (2), 137-156",13,1945
The work and personality of Walther Nernst,A Einstein,"The Scientific Monthly 54, 195-196",13,1942
Darstellung der Semi-Vektoren Als Gewohnliche Vektoren von Besonderem Differentiations Charakter,"A Einstein, W Mayer","Annals of Mathematics, 104-110",13,1934
Mein Glaubensbekenntnis,A Einstein,Albert Einstein: Verehrte An,13,1930
Über die gegenwärtige Krise der theoretischen Physik,A Einstein,"Kaizo (Tokio) 4, 1-8",13,1922
How I see the world,A Einstein,Videfilm Producers International,12,1991
The Swiss Years: Writing 1900-1909:...,"A Einstein, A Beck, P Havas",Princeton University Press,12,1989
Letter to Michele Besso's Family,A Einstein,"Ref. Bernstein, Jeremy., A Critic at Large: Besso. The New Yorker",12,1989
Appendix II. Generalization of gravitation theory,A Einstein,"The Meaning of Relativity, 133-165",12,1953
Only then shall we find courage,"A Einstein, CF Gauss",Emergency Committee of Atomic Scientists,12,1946
The anthropomorphized product shelf: Symmetric multimodal human-environment interaction,"R Wasinger, W Wahlster, A Einstein","True Visions: The Emergence of Ambient Intelligence. Heidelberg, Berlin, New …",11,2006
Textos fundamentais da física moderna,"HA Lorentz, A Einstein, H Minkowski, N Bohr, M Saraiva, E Namorado",Fundacao Calouste Gulbenkian,11,2001
Correspondencia (1916-1955),"A Einstein, AEMH Born",Siglo XXI,11,1999
On the ether,A Einstein,"The Philosophy of Vacuum, 13-20",11,1991
L’évolution des idées en physique,"E Albert, I Leopold",Coll. Champs Flammarion,11,1978
"Letter to Lincoln Barnett, quoted inThe concept of mass' by Lev Okum",A Einstein,Physics Today,11,1948
The military mentality,A Einstein,"The American Scholar 16 (3), 353-354",11,1947
Electrodynamic Movement of Fluid Metals Particularly for Refrigerating Machines,"A Einstein, L Szilard",Patent Specification 303065,11,1928
Sur les forces pondéromotrices qui agissent sur des conducteurs ferromagnétiques disposés dans un champ magnétique et parcourus par un courant,A Einstein,"Archives des Sciences 30, 323-324",11,1910
Sur la théorie des quantités lumineuses et la question de la localisation de l'énergie électromagnétique,A Einstein,"Archives des Sciences 29, 525-528",11,1910
Berichtigung zur Abhandlung:„Über die elektromagnetischen Grundgleichungen für bewegte Körper” ︁,"A Einstein, J Laub","Annalen der Physik 332 (11), 232-232",11,1908
"Jarbuch der Radioaktivitat und Elektronik, 4, 411 (1907), reprinted in The Collected Papers of A. Einstein, vol. 2, 252",A Einstein,"Princeton University Press, Princeton, NJ",10,1989
Ciencia y religión,A Einstein,K. Wiber,10,1984
"Einstein und Österreich: nach einem Vortrag in der Chemisch-Physikalischen Gesellschaft zu Wien im April 1979, hundert Jahre nach der Geburt des großen Meisters","E Broda, E Broda, E Broda, A Physicist",Verlag der Österreichischen Akademie der Wissenschaften,10,1980
The new physics: the route into the atomic age,"A Herrmann, A Einstein",,10,1979
